YEAR,WEEK,% WEIGHTED ILI
2018,40,1.42158
2018,41,1.40328
2018,42,1.47183
2018,43,1.63975
2018,44,1.79022
2018,45,1.86799
2018,46,1.99062
2018,47,2.24196
2018,48,2.14993
2018,49,2.26267
2018,50,2.63691
2018,51,3.13053
2018,52,3.95397
2019,1,3.45322
2019,2,3.09958
2019,3,3.32135
2019,4,3.78973
2019,5,4.34383
2019,6,4.85894
2019,7,5.06397
2019,8,4.91391
2019,9,4.58543
2019,10,4.4054
2019,11,4.24425
2019,12,3.68623
2019,13,3.1141
2019,14,2.71429
2019,15,2.31942
2019,16,2.03034
2019,17,1.7357
2019,18,1.59561
2019,19,1.52016
2019,20,1.50179
2019,21,1.44695
2019,22,1.40527
2019,23,1.23068
2019,24,1.12367
2019,25,0.994401
2019,26,0.955664
2019,27,0.893015
2019,28,0.844471
2019,29,0.791957